R_fighter,B_fighter,Winner,weight_class,R_wins,R_losses,B_wins,B_losses,fight_number,B_Stance,B_Height_cms,B_Reach_cms,B_age,B_win_by_Decision,B_win_by_KO/TKO,B_win_by_Submission,R_Stance,R_Height_cms,R_Reach_cms,R_age,R_win_by_Decision,R_win_by_KO/TKO,R_win_by_Submission,Referee,date,location,title_bout,B_avg_KD,B_avg_SIG_STR_pct,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,R_avg_KD,R_avg_SIG_STR_pct,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed
Adrian Yanez,Gustavo Lopez,Red,Bantamweight,1,0,1,1,0,Orthodox,165.1,170.18,31,0,0,1,Orthodox,170.18,177.8,27,0,1,0,Chris Tognoni,44275,"Las Vegas, Nevada, USA",FALSE,0,0.42,0.33,76.5,41,1.5,1,1,0.5,0,35,18,0,0
Trevin Giles,Roman Dolidze,Red,Middleweight,4,2,2,0,1,Orthodox,187.96,193.04,32,1,1,0,Orthodox,182.88,187.96,28,1,3,0,Herb Dean,44275,"Las Vegas, Nevada, USA",FALSE,0.5,0.66,0.3,113.5,68.5,2.5,1.5,1.03125,0.576875,0.40625,93.125,57.21875,1.28125,0.78125
Tai Tuivasa,Harry Hunsucker,Red,Heavyweight,4,3,0,0,2,Orthodox,187.96,190.5,32,0,0,0,Southpaw,187.96,190.5,28,1,3,0,Herb Dean,44275,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.546875,0.53890625,0,70.5,41.390625,0.03125,0
Cheyanne Buys,Montserrat Conejo,Blue,WomenStrawweight,0,0,0,0,3,Southpaw,152.4,154.94,28,0,0,0,Switch,160.02,160.02,25,0,0,0,Mark Smith,44275,"Las Vegas, Nevada, USA",FALSE,,,,,,,,,,,,,,
Marion Reneau,Macy Chiasson,Blue,WomenBantamweight,5,6,4,1,4,Orthodox,180.34,182.88,29,1,2,1,Orthodox,167.64,172.72,43,1,2,2,Mark Smith,44275,"Las Vegas, Nevada, USA",FALSE,0.125,0.535625,0.185,170.4375,105.625,5.375,1.5,0,0.4030761719,0.51171875,137.1542969,70.19824219,2.26171875,1.26171875
Leonardo Santos,Grant Dawson,Blue,Lightweight,7,1,4,0,5,Switch,177.8,182.88,27,2,0,2,Orthodox,182.88,190.5,41,3,2,2,Chris Tognoni,44275,"Las Vegas, Nevada, USA",FALSE,0,0.515,0.435,150.625,93.5,6.375,2.625,0.3125,0.56515625,0.33703125,110.9140625,68.0625,1.40625,0.6328125
Song Kenan,Max Griffin,Blue,Welterweight,4,1,4,6,6,Orthodox,180.34,193.04,35,2,2,0,Orthodox,182.88,180.34,31,1,3,0,Keith Peterson,44275,"Las Vegas, Nevada, USA",FALSE,0.046875,0.4592773437,0.3221875,151.5546875,78.32421875,2.73046875,1.453125,0.625,0.493125,0,77.5625,36.5625,0,0
Derek Brunson,Kevin Holland,Red,Middleweight,12,5,8,2,7,Orthodox,190.5,205.74,28,3,3,2,Southpaw,185.42,195.58,37,4,7,1,Herb Dean,44275,"Las Vegas, Nevada, USA",FALSE,0.15625,0.7915820312,0.2691992188,61.64453125,47.79101563,0.935546875,0.529296875,0.0245513916,0.5156361389,0.3558242798,150.5239868,88.71699524,8.111679077,3.008209229
Montel Jackson,Jesse Strader,Red,Bantamweight,3,2,0,0,8,Orthodox,170.18,177.8,29,0,0,0,Southpaw,177.8,190.5,28,2,0,1,Keith Peterson,44275,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.75,0.615,0.66875,117.625,88.4375,5.875,4.25
Bruno Silva,JP Buys,Red,Flyweight,0,3,0,0,9,Orthodox,165.1,170.18,24,0,0,0,,182.88,,31,0,0,0,Mark Smith,44275,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0,0.42,0.3625,117,57.25,9.5,3.25
