R_fighter,B_fighter,Winner,weight_class,R_wins,R_losses,B_wins,B_losses,fight_number
Adrian Yanez,Gustavo Lopez,Red,Bantamweight,1,0,1,1,1
Trevin Giles,Roman Dolidze,Red,Middleweight,4,2,2,0,2
Tai Tuivasa,Harry Hunsucker,Red,Heavyweight,4,3,0,0,3
Cheyanne Buys,Montserrat Conejo,Blue,WomenStrawweight,0,0,0,0,4
Marion Reneau,Macy Chiasson,Blue,WomenBantamweight,5,6,4,1,5
Leonardo Santos,Grant Dawson,Blue,Lightweight,7,1,4,0,6
Song Kenan,Max Griffin,Blue,Welterweight,4,1,4,6,7
Derek Brunson,Kevin Holland,Red,Middleweight,12,5,8,2,8
Montel Jackson,Jesse Strader,Red,Bantamweight,3,2,0,0,9
Bruno Silva,JP Buys,Red,Flyweight,0,3,0,0,10
Manel Kape,Matheus Nicolau,Blue,Flyweight,0,1,3,1,11
Misha Cirkunov,Ryan Spann,Blue,LightHeavyweight,6,3,4,1,12
Leon Edwards,Belal Muhammad,Draw,Welterweight,10,2,9,3,13
Charles Jourdain,Marcelo Rojo,Red,Featherweight,1,3,0,0,14
Eryk Anders,Darren Stewart,Draw,Middleweight,5,5,5,6,15
Angela Hill,Ashley Yoder,Red,WomenStrawweight,7,9,3,5,16
Jonathan Martinez,Davey Grant,Blue,Bantamweight,4,2,3,3,17
Dan Ige,Gavin Tucker,Red,Featherweight,6,2,4,1,18
Nasrat Haqparast,Rafa Garcia,Red,Lightweight,4,2,0,0,19
Cortney Casey,JJ Aldrich,Blue,WomenFlyweight,5,7,4,3,20
Matthew Semelsberger,Jason Witt,Red,Welterweight,1,0,1,1,21
Rani Yahya,Ray Rodriguez,Red,Bantamweight,11,6,0,1,22
Gloria de Paula,Jinh Yu Frey,Blue,WomenStrawweight,0,0,0,2,23
Dominick Cruz,Casey Kenney,Red,Bantamweight,5,2,5,1,24
Song Yadong,Kyler Phillips,Blue,Bantamweight,5,1,2,0,25
Petr Yan,Aljamain Sterling,Blue,Bantamweight,7,0,11,3,26
Jan Blachowicz,Israel Adesanya,Red,LightHeavyweight,10,5,9,0,27
Thiago Santos,Aleksandar Rakic,Blue,LightHeavyweight,13,7,5,1,28
Joseph Benavidez,Askar Askarov,Blue,Flyweight,15,5,2,1,29
Amanda Nunes,Megan Anderson,Red,WomenFeatherweight,13,1,3,2,30
Islam Makhachev,Drew Dober,Red,Lightweight,7,1,9,6,31
Tim Elliott,Jordan Espinosa,Red,Flyweight,5,9,2,3,32
Livinha Souza,Amanda Lemos,Blue,WomenStrawweight,3,1,2,1,33
Rogerio Bontorin,Kai Kara-France,Blue,Flyweight,2,1,4,2,34
Uros Medic,Aalon Cruz,Red,Lightweight,0,0,0,1,35
Kennedy Nzechukwu,Carlos Ulberg,Red,LightHeavyweight,1,1,0,0,36
Sean Brady,Jake Matthews,Red,Welterweight,3,0,10,4,37
Mario Bautista,Trevin Jones,Blue,Bantamweight,2,1,0,1,38
Jairzinho Rozenstruik,Ciryl Gane,Blue,Heavyweight,5,1,4,0,39
Montana De La Rosa,Mayra Bueno Silva,Draw,WomenFlyweight,4,2,2,1,40
Vince Cachero,Ronnie Lawrence,Blue,Bantamweight,0,1,0,0,41
Alexander Hernandez,Thiago Moises,Blue,Lightweight,4,2,3,2,42
Pedro Munhoz,Jimmie Rivera,Red,Bantamweight,8,6,7,3,43
Alex Caceres,Kevin Croom,Red,Featherweight,12,11,0,1,44
Alexis Davis,Sabina Mazo,Red,WomenBantamweight,6,5,3,1,45
Nikita Krylov,Magomed Ankalaev,Blue,LightHeavyweight,8,5,5,1,46
Dustin Jacoby,Maxim Grishin,Red,LightHeavyweight,1,2,1,1,47
Aleksei Oleinik,Chris Daukaus,Blue,Heavyweight,8,5,2,0,48
Charles Rosa,Darrick Minner,Blue,Featherweight,4,4,1,1,49
Phil Hawes,Nassourdine Imavov,Red,Middleweight,1,0,1,0,50
Curtis Blaydes,Derrick Lewis,Blue,Heavyweight,9,3,15,5,51
Eddie Wineland,John Castaneda,Blue,Bantamweight,6,8,0,1,52
Andrei Arlovski,Tom Aspinall,Blue,Heavyweight,19,14,2,0,53
Jared Gordon,Danny Chavez,Red,Featherweight,4,3,1,0,54
Ketlen Vieira,Yana Kunitskaya,Blue,WomenBantamweight,5,1,3,2,55
Aiemann Zahabi,Drako Rodriguez,Red,Bantamweight,1,2,0,0,56
Serghei Spivac,Jared Vanderaa,Red,Heavyweight,2,2,0,0,57
Nate Landwehr,Julian Erosa,Blue,Featherweight,1,1,2,4,58
Shana Dobson,Casey O'Neill,Blue,WomenFlyweight,2,3,0,0,59
Maycee Barber,Alexa Grasso,Blue,WomenFlyweight,3,1,4,3,60
Belal Muhammad,Dhiego Lima,Red,Welterweight,8,3,4,5,61
Maki Pitolo,Julian Marquez,Blue,Middleweight,1,3,1,1,62
Kamaru Usman,Gilbert Burns,Red,Welterweight,12,0,12,3,63
Ricky Simon,Brian Kelleher,Red,Featherweight,5,2,6,4,64
Kelvin Gastelum,Ian Heinisch,Red,Middleweight,10,7,3,2,65
Polyana Viana,Mallory Martin,Red,WomenStrawweight,2,3,1,1,66
Rodolfo Vieira,Anthony Hernandez,Blue,Middleweight,2,0,1,2,67
Gabe Green,Philip Rowe,Red,Welterweight,0,1,0,0,68
Andre Ewell,Chris Gutierrez,Blue,CatchWeight,4,2,3,2,69
Alexandre Pantoja,Manel Kape,Red,Flyweight,6,3,0,0,70
Karol Rosa,Joselyne Edwards,Red,WomenBantamweight,2,0,1,0,71
Devonte Smith,Justin Jaynes,Red,CatchWeight,2,1,1,2,72
Michael Johnson,Clay Guida,Blue,Lightweight,11,12,15,14,73
Alistair Overeem,Alexander Volkov,Blue,Heavyweight,12,7,6,2,74
Diego Ferreira,Beneil Dariush,Blue,Lightweight,8,2,13,5,75
Cory Sandhagen,Frankie Edgar,Red,Bantamweight,6,1,18,9,76
Mike Rodriguez,Danilo Marques,Blue,LightHeavyweight,2,4,1,0,77
Ode Osbourne,Jerome Rivera,Red,Featherweight,0,1,0,2,78
SeungWoo Choi,Youssef Zalal,Red,Featherweight,1,2,3,1,79
Molly McCann,Lara Procopio,Blue,WomenFlyweight,3,2,0,1,80
Timur Valiev,Martin Day,Red,Featherweight,0,1,0,3,81
Dan Hooker,Michael Chandler,Blue,Lightweight,10,5,0,0,82
Andrew Sanchez,Makhmud Muradov,Blue,Middleweight,5,3,2,0,83
Julianna Pena,Sara McMann,Red,WomenBantamweight,5,2,6,5,84
Jessica Eye,Joanne Calderwood,Blue,WomenFlyweight,5,8,6,5,85
Dustin Poirier,Conor McGregor,Red,Lightweight,18,6,10,2,86
Brad Tavares,Antonio Carlos Junior,Red,Middleweight,12,6,7,5,87
Arman Tsarukyan,Matt Frevola,Red,Lightweight,2,1,2,2,88
Marina Rodriguez,Amanda Ribas,Red,WomenStrawweight,2,3,4,0,89
Amir Albazi,Zhalgas Zhumagulov,Red,Flyweight,1,0,0,1,90
Khalil Rountree Jr.,Marcin Prachnio,Blue,LightHeavyweight,4,5,0,3,91
Nik Lentz,Movsar Evloev,Blue,CatchWeight,14,10,3,0,92
Ricky Simon,Gaetano Pirrello,Red,Bantamweight,4,2,0,0,93
Omari Akhmedov,Tom Breese,Red,Middleweight,8,5,5,2,94
Warlley Alves,Mounir Lazzez,Red,Welterweight,7,4,1,0,95
Matt Schnell,Tyson Nam,Red,Flyweight,4,3,2,2,96
Roxanne Modafferi,Viviane Araujo,Blue,WomenFlyweight,4,5,3,1,97
Ike Villanueva,Vinicius Moreira,Red,LightHeavyweight,0,2,0,3,98
Michael Chiesa,Neil Magny,Red,Welterweight,10,4,17,6,99
Lerone Murphy,Douglas Silva de Andrade,Red,Featherweight,1,1,4,3,100
Su Mudaerji,Zarrukh Adashev,Red,Flyweight,2,1,0,1,101
Francisco Figueiredo,Jerome Rivera,Red,Flyweight,0,0,0,1,102
Mike Davis,Mason Jones,Red,Lightweight,1,1,0,0,103
Dalcha Lungiambula,Markus Perez,Red,Middleweight,1,1,2,4,104
Umar Nurmagomedov,Sergey Morozov,Red,Bantamweight,0,0,0,0,105
Victoria Leonardo,Manon Fiorot,Blue,WomenFlyweight,0,0,0,0,106
Wu Yanan,Joselyne Edwards,Blue,WomenBantamweight,1,2,0,0,107
Punahele Soriano,Dusko Todorovic,Red,Middleweight,1,0,1,0,108
Carlos Felipe,Justin Tafa,Red,Heavyweight,1,1,1,1,109
Carlos Condit,Matt Brown,Red,Welterweight,8,9,15,11,110
David Zawada,Ramazan Emeev,Blue,Welterweight,1,2,4,1,111
Joaquin Buckley,Alessio Di Chirico,Blue,Middleweight,2,1,3,5,112
Santiago Ponzinibbio,Li Jingliang,Blue,Welterweight,9,2,9,4,113
Max Holloway,Calvin Kattar,Red,Featherweight,17,6,6,2,114
Sarah Moras,Vanessa Melo,Blue,WomenBantamweight,3,5,0,3,115
Jacob Kilburn,Austin Lingo,Blue,Featherweight,0,1,0,1,116
Marlon Moraes,Rob Font,Blue,Bantamweight,5,3,7,3,117
Sijara Eubanks,Pannie Kianzad,Blue,WomenBantamweight,4,3,2,2,118
Deron Winn,Antonio Arroyo,Red,CatchWeight,1,2,0,1,119
Stephen Thompson,Geoff Neal,Red,Welterweight,10,5,5,0,120
Jose Aldo,Marlon Vera,Red,Bantamweight,10,6,10,5,121
Anthony Pettis,Alex Morono,Red,Welterweight,10,9,7,4,122
Marcin Tybura,Greg Hardy,Red,Heavyweight,7,5,4,3,123
Michel Pereira,Khaos Williams,Red,Welterweight,2,2,2,0,124
Gillian Robertson,Taila Santos,Blue,WomenFlyweight,6,2,1,1,125
Jimmy Flick,Cody Durden,Red,Flyweight,0,0,0,1,126
